"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2017-04-13 12:10:09","159.53 ± 1.00","234.33","-52.7","143.32 ± 1.00","58.48 ± 1.00"
"2017-04-13 00:10:09","160.00 ± 1.00","200.33","-53.1","143.61 ± 1.00","58.19 ± 1.00"
"2017-04-12 12:10:10","158.50 ± 1.00","200.00","-48.9","143.61 ± 1.00","58.19 ± 1.00"
"2017-04-12 00:10:09","160.20 ± 1.00","249.67","-53.5","143.66 ± 1.00","58.14 ± 1.00"
"2017-04-11 12:10:10","163.00 ± 1.00","274.00","-59.9","144.02 ± 1.00","57.78 ± 1.00"
"2017-04-11 00:10:09","160.43 ± 1.00","247.00","-53.8","143.77 ± 1.00","58.03 ± 1.00"
"2017-04-10 12:10:09","159.17 ± 1.00","247.67","-49.6","143.99 ± 1.00","57.81 ± 1.00"
"2017-04-08 12:10:09","162.90 ± 1.00","181.00","-57.7","144.68 ± 1.00","57.12 ± 1.00"
"2017-04-08 00:10:09","161.57 ± 1.00","200.67","-52.2","145.31 ± 1.00","56.49 ± 1.00"
"2017-04-07 12:10:09","169.60 ± 1.00","262.67","-54.1","151.88 ± 1.00","49.92 ± 1.00"
"2017-04-07 00:10:09","170.00 ± 1.00","200.67","-53.6","152.41 ± 1.00","49.39 ± 1.00"
"2017-04-06 12:10:09","171.97 ± 1.00","194.00","-60.4","151.77 ± 1.00","50.03 ± 1.00"
"2017-04-06 00:10:09","171.67 ± 1.00","192.33","-57.4","152.57 ± 1.00","49.23 ± 1.00"
"2017-04-05 12:10:09","170.20 ± 1.00","200.33","-55.0","152.10 ± 1.00","49.70 ± 1.00"
"2017-04-05 00:10:09","155.73 ± 1.00","242.67","-54.9","139.21 ± 1.00","62.59 ± 1.00"
"2017-04-04 12:10:10","167.07 ± 1.00","267.33","-47.4","151.88 ± 1.00","49.92 ± 1.00"
"2017-04-04 00:10:09","169.90 ± 1.00","198.00","-55.1","151.80 ± 1.00","50.00 ± 1.00"
"2017-04-03 12:10:09","169.57 ± 1.00","221.00","-54.2","151.81 ± 1.00","49.99 ± 1.00"
"2017-04-02 12:10:10","170.73 ± 1.00","200.00","-57.9","151.56 ± 1.00","50.24 ± 1.00"
"2017-04-02 00:10:09","170.37 ± 1.00","193.67","-57.9","151.24 ± 1.00","50.56 ± 1.00"
"2017-04-01 12:10:09","170.40 ± 1.00","198.00","-61.3","150.07 ± 1.00","51.73 ± 1.00"
"2017-04-01 00:10:10","169.43 ± 1.00","228.33","-56.0","151.07 ± 1.00","50.73 ± 1.00"
"2017-03-31 12:10:09","169.97 ± 1.00","193.67","-60.2","150.07 ± 1.00","51.73 ± 1.00"
"2017-03-31 00:10:09","170.90 ± 1.00","214.67","-60.7","150.72 ± 1.00","51.08 ± 1.00"
"2017-03-30 00:10:09","166.13 ± 1.00","243.67","-48.6","150.63 ± 1.00","51.17 ± 1.00"
"2017-03-29 12:10:10","168.20 ± 1.00","185.33","-52.6","151.14 ± 1.00","50.66 ± 1.00"
"2017-03-29 00:10:10","168.83 ± 1.00","198.67","-58.2","149.77 ± 1.00","52.03 ± 1.00"
"2017-03-28 12:10:10","169.67 ± 1.00","230.33","-57.5","150.75 ± 1.00","51.05 ± 1.00"
"2017-03-28 00:10:09","170.53 ± 1.00","206.00","-59.1","150.96 ± 1.00","50.84 ± 1.00"
"2017-03-27 12:10:09","171.27 ± 1.00","248.33","-64.1","149.83 ± 1.00","51.97 ± 1.00"
"2017-03-27 00:10:10","171.53 ± 1.00","236.67","-62.8","150.53 ± 1.00","51.27 ± 1.00"
"2017-03-26 12:10:09","170.13 ± 1.00","220.67","-59.1","150.61 ± 1.00","51.19 ± 1.00"
"2017-03-26 00:10:09","168.47 ± 1.00","274.00","-56.1","150.17 ± 1.00","51.63 ± 1.00"
"2017-03-25 12:10:09","168.00 ± 1.00","202.00","-54.9","150.17 ± 1.00","51.63 ± 1.00"
"2017-03-25 00:10:10","169.03 ± 1.00","256.33","-57.3","150.26 ± 1.00","51.54 ± 1.00"
"2017-03-23 12:10:09","166.73 ± 1.00","246.33","-55.7","148.77 ± 1.00","53.03 ± 1.00"
"2017-03-23 00:10:10","166.53 ± 1.00","256.33","-56.6","148.28 ± 1.00","53.52 ± 1.00"
"2017-03-22 12:10:10","161.73 ± 1.00","187.67","-47.6","146.97 ± 1.00","54.83 ± 1.00"
"2017-03-22 00:10:10","161.83 ± 1.00","249.67","-42.5","148.71 ± 1.00","53.09 ± 1.00"
"2017-03-21 00:10:09","161.10 ± 1.00","194.67","-47.7","146.36 ± 1.00","55.44 ± 1.00"
"2017-03-20 12:10:10","162.97 ± 1.00","208.67","-54.8","145.71 ± 1.00","56.09 ± 1.00"
"2017-03-20 00:10:10","162.50 ± 1.00","196.67","-55.5","145.05 ± 1.00","56.75 ± 1.00"
"2017-03-19 12:10:09","160.07 ± 1.00","201.33","-45.3","146.19 ± 1.00","55.61 ± 1.00"
"2017-03-19 00:10:09","161.40 ± 1.00","195.67","-44.5","147.67 ± 1.00","54.13 ± 1.00"
"2017-03-18 00:10:09","166.80 ± 1.00","265.67","-46.9","151.81 ± 1.00","49.99 ± 1.00"
"2017-03-17 12:10:09","171.43 ± 1.00","244.33","-56.9","152.54 ± 1.00","49.26 ± 1.00"
"2017-03-17 00:10:09","167.00 ± 1.00","245.33","-46.3","152.19 ± 1.00","49.61 ± 1.00"
"2017-03-16 12:10:10","166.33 ± 1.00","207.00","-51.4","149.87 ± 1.00","51.93 ± 1.00"
"2017-03-16 00:10:10","167.30 ± 1.00","196.00","-51.0","150.88 ± 1.00","50.92 ± 1.00"
"2017-03-15 12:10:09","173.47 ± 1.00","229.33","-63.5","151.97 ± 1.00","49.83 ± 1.00"
"2017-03-15 00:10:10","171.60 ± 1.00","230.33","-61.3","151.12 ± 1.00","50.68 ± 1.00"
"2017-03-14 12:10:09","170.87 ± 1.00","265.33","-59.7","151.04 ± 1.00","50.76 ± 1.00"
"2017-03-13 12:10:10","172.27 ± 1.00","290.33","-62.2","151.39 ± 1.00","50.41 ± 1.00"
"2017-03-12 12:10:09","171.10 ± 1.00","274.00","-58.9","151.53 ± 1.00","50.27 ± 1.00"
"2017-03-12 00:10:09","170.17 ± 1.00","277.67","-56.7","151.48 ± 1.00","50.32 ± 1.00"
"2017-03-11 00:10:10","171.27 ± 1.00","239.00","-57.4","152.21 ± 1.00","49.59 ± 1.00"
"2017-03-10 12:10:10","169.50 ± 1.00","266.67","-55.3","151.37 ± 1.00","50.43 ± 1.00"
"2017-03-09 12:10:10","170.07 ± 1.00","291.67","-55.0","151.98 ± 1.00","49.82 ± 1.00"
"2017-03-09 08:30:09","169.97 ± 1.00","284.67","-55.3","151.79 ± 1.00","50.01 ± 1.00"
"2017-03-09 07:30:09","169.80 ± 1.00","289.67","-55.0","151.75 ± 1.00","50.05 ± 1.00"
"2017-03-09 02:30:10","169.47 ± 1.00","288.67","-55.2","151.38 ± 1.00","50.42 ± 1.00"
"2017-03-08 20:30:10","168.93 ± 1.00","288.67","-54.0","151.32 ± 1.00","50.48 ± 1.00"
"2017-03-08 19:30:09","168.90 ± 1.00","278.67","-53.7","151.39 ± 1.00","50.41 ± 1.00"
"2017-03-08 18:30:10","169.03 ± 1.00","278.00","-53.5","151.58 ± 1.00","50.22 ± 1.00"
"2017-03-08 17:30:09","169.03 ± 1.00","276.00","-53.4","151.61 ± 1.00","50.19 ± 1.00"
"2017-03-08 16:30:09","168.90 ± 1.00","278.67","-53.4","151.49 ± 1.00","50.31 ± 1.00"
"2017-03-08 15:30:10","168.87 ± 1.00","278.00","-53.1","151.57 ± 1.00","50.23 ± 1.00"
"2017-03-08 14:30:09","168.90 ± 1.00","275.67","-53.3","151.53 ± 1.00","50.27 ± 1.00"
"2017-03-08 13:30:09","168.77 ± 1.00","271.67","-53.2","151.44 ± 1.00","50.36 ± 1.00"
"2017-03-08 12:30:10","168.60 ± 1.00","279.00","-53.1","151.33 ± 1.00","50.47 ± 1.00"
"2017-03-08 12:10:09","169.30 ± 1.00","238.33","-53.0","151.99 ± 1.00","49.81 ± 1.00"
"2017-03-08 11:30:10","168.97 ± 1.00","260.67","-53.0","151.69 ± 1.00","50.11 ± 1.00"
"2017-03-08 10:30:10","169.07 ± 1.00","249.67","-52.8","151.85 ± 1.00","49.95 ± 1.00"
"2017-03-08 09:30:09","168.80 ± 1.00","269.00","-52.6","151.68 ± 1.00","50.12 ± 1.00"
"2017-03-08 08:30:09","168.33 ± 1.00","285.67","-52.0","151.47 ± 1.00","50.33 ± 1.00"
"2017-03-08 07:30:09","168.70 ± 1.00","242.33","-51.8","151.86 ± 1.00","49.94 ± 1.00"
"2017-03-08 04:30:10","168.80 ± 1.00","242.00","-52.0","151.89 ± 1.00","49.91 ± 1.00"
"2017-03-08 03:30:09","168.67 ± 1.00","248.00","-51.8","151.83 ± 1.00","49.97 ± 1.00"
"2017-03-08 02:30:10","168.73 ± 1.00","248.00","-51.7","151.93 ± 1.00","49.87 ± 1.00"
"2017-03-08 01:30:09","168.53 ± 1.00","249.67","-51.5","151.82 ± 1.00","49.98 ± 1.00"
"2017-03-08 00:30:09","168.93 ± 1.00","221.67","-51.5","152.18 ± 1.00","49.62 ± 1.00"
"2017-03-07 23:30:09","168.53 ± 1.00","238.00","-51.2","151.92 ± 1.00","49.88 ± 1.00"
"2017-03-07 22:30:10","168.40 ± 1.00","235.33","-50.6","152.00 ± 1.00","49.80 ± 1.00"
"2017-03-07 21:30:09","168.50 ± 1.00","191.67","-50.0","152.30 ± 1.00","49.50 ± 1.00"
"2017-03-07 20:30:09","168.60 ± 1.00","192.00","-50.0","152.39 ± 1.00","49.41 ± 1.00"
"2017-03-07 19:30:10","168.60 ± 1.00","196.00","-50.1","152.36 ± 1.00","49.44 ± 1.00"
"2017-03-07 18:30:09","168.43 ± 1.00","189.67","-49.7","152.34 ± 1.00","49.46 ± 1.00"
"2017-03-07 17:30:09","168.73 ± 1.00","196.33","-50.3","152.41 ± 1.00","49.39 ± 1.00"
"2017-03-07 16:30:09","168.70 ± 1.00","196.33","-50.3","152.38 ± 1.00","49.42 ± 1.00"
"2017-03-07 15:30:10","168.60 ± 1.00","195.33","-50.0","152.39 ± 1.00","49.41 ± 1.00"
"2017-03-07 14:30:09","168.43 ± 1.00","196.67","-49.8","152.31 ± 1.00","49.49 ± 1.00"
"2017-03-07 13:30:09","168.30 ± 1.00","195.33","-49.2","152.39 ± 1.00","49.41 ± 1.00"
"2017-03-07 12:30:10","168.10 ± 1.00","194.33","-48.7","152.38 ± 1.00","49.42 ± 1.00"
"2017-03-07 12:10:09","168.03 ± 1.00","194.00","-48.6","152.35 ± 1.00","49.45 ± 1.00"
"2017-03-07 11:30:10","167.87 ± 1.00","196.33","-48.1","152.37 ± 1.00","49.43 ± 1.00"
"2017-03-07 10:30:09","167.70 ± 1.00","195.33","-47.6","152.39 ± 1.00","49.41 ± 1.00"
"2017-03-07 09:30:09","167.50 ± 1.00","194.33","-47.2","152.34 ± 1.00","49.46 ± 1.00"
"2017-03-07 08:30:10","167.57 ± 1.00","194.00","-47.2","152.40 ± 1.00","49.40 ± 1.00"
"2017-03-07 07:30:10","167.07 ± 1.00","255.67","-46.5","152.18 ± 1.00","49.62 ± 1.00"
"2017-03-07 06:30:09","166.73 ± 1.00","190.67","-45.7","152.15 ± 1.00","49.65 ± 1.00"
"2017-03-07 05:30:09","166.47 ± 1.00","191.67","-46.0","151.80 ± 1.00","50.00 ± 1.00"
"2017-03-07 04:30:09","166.30 ± 1.00","187.33","-46.3","151.55 ± 1.00","50.25 ± 1.00"
"2017-03-07 03:30:09","166.13 ± 1.00","182.67","-46.2","151.43 ± 1.00","50.37 ± 1.00"
"2017-03-07 02:30:09","165.07 ± 1.00","197.67","-45.9","150.56 ± 1.00","51.24 ± 1.00"
"2017-03-07 01:30:09","164.73 ± 1.00","198.67","-45.8","150.29 ± 1.00","51.51 ± 1.00"
"2017-03-07 00:30:09","167.03 ± 1.00","197.67","-45.7","152.42 ± 1.00","49.38 ± 1.00"
"2017-03-06 23:30:09","167.10 ± 1.00","202.33","-46.1","152.35 ± 1.00","49.45 ± 1.00"
"2017-03-06 22:30:09","167.00 ± 1.00","197.00","-45.6","152.42 ± 1.00","49.38 ± 1.00"
"2017-03-06 21:30:09","166.90 ± 1.00","201.00","-45.5","152.37 ± 1.00","49.43 ± 1.00"
"2017-03-06 20:30:09","166.57 ± 1.00","192.00","-44.2","152.50 ± 1.00","49.30 ± 1.00"
"2017-03-06 19:30:10","166.47 ± 1.00","195.33","-44.0","152.47 ± 1.00","49.33 ± 1.00"
"2017-03-06 18:30:09","166.77 ± 1.00","218.00","-44.1","152.71 ± 1.00","49.09 ± 1.00"
"2017-03-06 17:30:10","166.47 ± 1.00","171.33","-44.5","152.30 ± 1.00","49.50 ± 1.00"
"2017-03-06 16:30:09","165.53 ± 1.00","194.67","-43.5","151.78 ± 1.00","50.02 ± 1.00"
"2017-03-06 15:30:10","164.30 ± 1.00","277.00","-42.8","150.88 ± 1.00","50.92 ± 1.00"
"2017-03-06 14:30:09","166.17 ± 1.00","192.67","-42.4","152.73 ± 1.00","49.07 ± 1.00"
"2017-03-06 13:30:10","166.13 ± 1.00","206.67","-42.8","152.56 ± 1.00","49.24 ± 1.00"
"2017-03-06 12:30:09","165.67 ± 1.00","203.33","-42.4","152.27 ± 1.00","49.53 ± 1.00"
"2017-03-06 12:10:10","164.90 ± 1.00","187.33","-42.3","151.60 ± 1.00","50.20 ± 1.00"
"2017-03-06 11:30:10","165.53 ± 1.00","194.33","-41.3","152.51 ± 1.00","49.29 ± 1.00"
"2017-03-06 10:30:09","165.77 ± 1.00","194.33","-42.1","152.46 ± 1.00","49.34 ± 1.00"
"2017-03-06 09:30:09","165.47 ± 1.00","193.33","-41.3","152.45 ± 1.00","49.35 ± 1.00"
"2017-03-06 08:30:09","165.23 ± 1.00","192.33","-40.9","152.36 ± 1.00","49.44 ± 1.00"
"2017-03-06 07:30:10","164.40 ± 1.00","188.67","-40.1","151.85 ± 1.00","49.95 ± 1.00"
"2017-03-06 06:30:10","164.57 ± 1.00","186.67","-39.5","152.20 ± 1.00","49.60 ± 1.00"
"2017-03-06 05:30:09","162.90 ± 1.00","174.33","-35.4","151.98 ± 1.00","49.82 ± 1.00"
"2017-03-06 04:30:10","162.67 ± 1.00","193.67","-35.2","151.82 ± 1.00","49.98 ± 1.00"
"2017-03-06 03:30:10","162.87 ± 1.00","187.33","-35.7","151.85 ± 1.00","49.95 ± 1.00"
"2017-03-06 02:30:10","161.80 ± 1.00","189.33","-34.0","151.40 ± 1.00","50.40 ± 1.00"
"2017-03-06 01:30:09","162.10 ± 1.00","188.67","-34.9","151.39 ± 1.00","50.41 ± 1.00"
"2017-03-06 00:30:10","162.33 ± 1.00","213.00","-35.4","151.45 ± 1.00","50.35 ± 1.00"
"2017-03-05 23:30:10","162.60 ± 1.00","190.67","-35.4","151.70 ± 1.00","50.10 ± 1.00"
"2017-03-05 22:30:10","164.00 ± 1.00","194.67","-37.3","152.39 ± 1.00","49.41 ± 1.00"
"2017-03-05 21:30:09","164.03 ± 1.00","232.67","-39.2","151.81 ± 1.00","49.99 ± 1.00"
"2017-03-05 20:30:09","165.97 ± 1.00","230.00","-43.0","152.34 ± 1.00","49.46 ± 1.00"
"2017-03-05 19:30:10","166.13 ± 1.00","257.67","-44.3","152.07 ± 1.00","49.73 ± 1.00"
"2017-03-05 18:30:10","166.73 ± 1.00","245.33","-44.6","152.51 ± 1.00","49.29 ± 1.00"
"2017-03-05 17:30:10","166.13 ± 1.00","242.67","-42.7","152.60 ± 1.00","49.20 ± 1.00"
"2017-03-05 16:30:10","166.33 ± 1.00","256.33","-42.1","152.98 ± 1.00","48.82 ± 1.00"
"2017-03-05 15:30:09","166.47 ± 1.00","248.33","-43.2","152.74 ± 1.00","49.06 ± 1.00"
"2017-03-05 14:30:10","166.47 ± 1.00","244.67","-42.7","152.90 ± 1.00","48.90 ± 1.00"
"2017-03-05 13:30:09","166.10 ± 1.00","286.33","-41.9","152.83 ± 1.00","48.97 ± 1.00"
"2017-03-05 12:30:09","165.67 ± 1.00","249.67","-42.2","152.33 ± 1.00","49.47 ± 1.00"
"2017-03-05 12:10:10","165.73 ± 1.00","254.00","-42.6","152.26 ± 1.00","49.54 ± 1.00"
"2017-03-05 11:30:10","165.53 ± 1.00","286.67","-40.8","152.67 ± 1.00","49.13 ± 1.00"
"2017-03-05 10:30:10","165.37 ± 1.00","256.00","-40.8","152.52 ± 1.00","49.28 ± 1.00"
"2017-03-05 09:30:10","165.00 ± 1.00","235.67","-37.4","153.29 ± 1.00","48.51 ± 1.00"
"2017-03-05 08:30:09","164.33 ± 1.00","234.00","-37.2","152.73 ± 1.00","49.07 ± 1.00"
"2017-03-05 07:30:10","163.13 ± 1.00","201.67","-35.0","152.32 ± 1.00","49.48 ± 1.00"
"2017-03-05 06:30:09","162.50 ± 1.00","197.00","-32.5","152.53 ± 1.00","49.27 ± 1.00"
"2017-03-05 05:30:09","162.30 ± 1.00","196.33","-32.4","152.37 ± 1.00","49.43 ± 1.00"
"2017-03-05 04:30:09","162.33 ± 1.00","200.67","-32.4","152.40 ± 1.00","49.40 ± 1.00"
"2017-03-05 03:30:09","162.20 ± 1.00","197.00","-32.2","152.34 ± 1.00","49.46 ± 1.00"
"2017-03-05 02:30:09","162.30 ± 1.00","196.33","-32.7","152.28 ± 1.00","49.52 ± 1.00"
"2017-03-05 01:30:09","162.40 ± 1.00","195.67","-33.0","152.27 ± 1.00","49.53 ± 1.00"
"2017-03-05 00:30:09","162.50 ± 1.00","195.00","-33.2","152.30 ± 1.00","49.50 ± 1.00"
"2017-03-04 23:30:10","162.40 ± 1.00","195.00","-33.9","151.99 ± 1.00","49.81 ± 1.00"
"2017-03-04 22:30:10","162.90 ± 1.00","191.33","-35.2","152.04 ± 1.00","49.76 ± 1.00"
"2017-03-04 21:30:10","163.73 ± 1.00","191.67","-36.4","152.43 ± 1.00","49.37 ± 1.00"
"2017-03-04 20:30:10","162.97 ± 1.00","191.67","-34.9","152.20 ± 1.00","49.60 ± 1.00"
"2017-03-04 19:30:09","162.70 ± 1.00","191.33","-34.2","152.17 ± 1.00","49.63 ± 1.00"
"2017-03-04 18:30:09","162.77 ± 1.00","187.33","-34.0","152.30 ± 1.00","49.50 ± 1.00"
"2017-03-04 17:30:10","162.83 ± 1.00","188.67","-34.6","152.17 ± 1.00","49.63 ± 1.00"
"2017-03-04 16:30:10","162.70 ± 1.00","189.67","-33.5","152.40 ± 1.00","49.40 ± 1.00"
"2017-03-04 15:30:09","162.20 ± 1.00","189.00","-32.5","152.25 ± 1.00","49.55 ± 1.00"
"2017-03-04 14:30:10","161.97 ± 1.00","189.00","-32.2","152.12 ± 1.00","49.68 ± 1.00"
"2017-03-04 13:30:10","162.37 ± 1.00","190.00","-32.8","152.31 ± 1.00","49.49 ± 1.00"
"2017-03-04 12:30:09","162.53 ± 1.00","188.00","-32.9","152.43 ± 1.00","49.37 ± 1.00"
"2017-03-04 12:10:09","162.63 ± 1.00","188.33","-33.4","152.37 ± 1.00","49.43 ± 1.00"
"2017-03-04 11:30:09","162.70 ± 1.00","195.00","-33.3","152.46 ± 1.00","49.34 ± 1.00"
"2017-03-04 10:30:09","162.43 ± 1.00","191.33","-32.3","152.53 ± 1.00","49.27 ± 1.00"
"2017-03-04 09:30:09","162.43 ± 1.00","192.00","-32.3","152.53 ± 1.00","49.27 ± 1.00"
"2017-03-04 08:30:10","162.50 ± 1.00","194.00","-32.4","152.56 ± 1.00","49.24 ± 1.00"
"2017-03-04 07:30:10","162.80 ± 1.00","193.67","-33.1","152.62 ± 1.00","49.18 ± 1.00"
"2017-03-04 06:30:10","163.07 ± 1.00","194.33","-33.9","152.61 ± 1.00","49.19 ± 1.00"
"2017-03-04 05:30:09","163.87 ± 1.00","192.67","-35.8","152.75 ± 1.00","49.05 ± 1.00"
"2017-03-04 04:30:09","164.53 ± 1.00","209.00","-36.9","153.02 ± 1.00","48.78 ± 1.00"
"2017-03-04 03:30:09","163.63 ± 1.00","191.00","-34.6","152.92 ± 1.00","48.88 ± 1.00"
"2017-03-04 02:30:10","163.30 ± 1.00","197.67","-33.5","152.96 ± 1.00","48.84 ± 1.00"
"2017-03-04 01:30:09","163.67 ± 1.00","193.67","-33.8","153.21 ± 1.00","48.59 ± 1.00"
"2017-03-04 00:30:09","163.57 ± 1.00","210.00","-33.7","153.14 ± 1.00","48.66 ± 1.00"
"2017-03-03 23:30:10","163.50 ± 1.00","192.33","-33.6","153.11 ± 1.00","48.69 ± 1.00"
"2017-03-03 22:30:09","163.27 ± 1.00","191.33","-33.3","152.99 ± 1.00","48.81 ± 1.00"
"2017-03-03 21:30:09","163.80 ± 1.00","210.00","-33.7","153.36 ± 1.00","48.44 ± 1.00"
"2017-03-03 20:30:09","163.27 ± 1.00","211.33","-33.6","152.90 ± 1.00","48.90 ± 1.00"
"2017-03-03 19:30:10","162.70 ± 1.00","192.00","-33.1","152.52 ± 1.00","49.28 ± 1.00"
"2017-03-03 18:30:09","162.23 ± 1.00","188.00","-33.2","152.05 ± 1.00","49.75 ± 1.00"
"2017-03-03 17:30:09","162.23 ± 1.00","182.33","-33.3","152.02 ± 1.00","49.78 ± 1.00"
"2017-03-03 16:30:10","162.50 ± 1.00","189.33","-34.6","151.86 ± 1.00","49.94 ± 1.00"
"2017-03-03 15:30:10","163.53 ± 1.00","182.00","-38.2","151.67 ± 1.00","50.13 ± 1.00"
"2017-03-03 14:30:09","163.80 ± 1.00","187.33","-39.9","151.36 ± 1.00","50.44 ± 1.00"
"2017-03-03 13:30:09","163.53 ± 1.00","207.67","-38.8","151.47 ± 1.00","50.33 ± 1.00"
"2017-03-03 12:30:10","163.60 ± 1.00","209.33","-39.1","151.44 ± 1.00","50.36 ± 1.00"
"2017-03-03 12:10:09","163.90 ± 1.00","203.67","-38.8","151.81 ± 1.00","49.99 ± 1.00"
"2017-03-03 11:30:09","164.13 ± 1.00","187.33","-37.9","152.32 ± 1.00","49.48 ± 1.00"
"2017-03-03 10:30:09","163.90 ± 1.00","187.33","-38.4","151.94 ± 1.00","49.86 ± 1.00"
"2017-03-03 09:30:10","164.57 ± 1.00","180.33","-37.5","152.85 ± 1.00","48.95 ± 1.00"
"2017-03-03 08:30:10","164.40 ± 1.00","186.00","-36.0","153.18 ± 1.00","48.62 ± 1.00"
"2017-03-03 07:30:10","163.20 ± 1.00","188.00","-33.9","152.74 ± 1.00","49.06 ± 1.00"
"2017-03-03 06:30:10","162.73 ± 1.00","189.00","-33.0","152.59 ± 1.00","49.21 ± 1.00"
"2017-03-03 05:30:10","162.63 ± 1.00","195.33","-34.9","151.89 ± 1.00","49.91 ± 1.00"
"2017-03-03 04:30:09","163.20 ± 1.00","226.67","-35.6","152.19 ± 1.00","49.61 ± 1.00"
"2017-03-03 03:30:10","162.97 ± 1.00","216.00","-35.5","152.01 ± 1.00","49.79 ± 1.00"
"2017-03-03 02:30:10","162.57 ± 1.00","219.00","-35.1","151.76 ± 1.00","50.04 ± 1.00"
"2017-03-03 01:30:09","162.37 ± 1.00","189.00","-32.4","152.43 ± 1.00","49.37 ± 1.00"
"2017-03-03 00:30:10","162.30 ± 1.00","188.33","-32.1","152.47 ± 1.00","49.33 ± 1.00"
"2017-03-02 23:30:09","163.37 ± 1.00","185.00","-35.2","152.48 ± 1.00","49.32 ± 1.00"
"2017-03-02 22:30:09","164.07 ± 1.00","187.00","-35.9","152.91 ± 1.00","48.89 ± 1.00"
"2017-03-02 21:30:09","164.80 ± 1.00","188.67","-39.9","152.29 ± 1.00","49.51 ± 1.00"
"2017-03-02 20:30:10","165.03 ± 1.00","186.67","-40.8","152.21 ± 1.00","49.59 ± 1.00"
"2017-03-02 19:30:10","165.90 ± 1.00","180.00","-40.7","153.04 ± 1.00","48.76 ± 1.00"
"2017-03-02 18:30:09","165.40 ± 1.00","187.00","-40.5","152.65 ± 1.00","49.15 ± 1.00"
"2017-03-02 17:30:09","165.17 ± 1.00","194.00","-40.0","152.59 ± 1.00","49.21 ± 1.00"
"2017-03-02 16:30:09","165.17 ± 1.00","221.67","-39.6","152.73 ± 1.00","49.07 ± 1.00"
"2017-03-02 15:30:09","164.83 ± 1.00","188.00","-38.8","152.68 ± 1.00","49.12 ± 1.00"
"2017-03-02 14:30:09","163.73 ± 1.00","187.67","-38.7","151.69 ± 1.00","50.11 ± 1.00"
"2017-03-02 13:30:10","162.30 ± 1.00","186.67","-34.5","151.70 ± 1.00","50.10 ± 1.00"
"2017-03-02 12:30:09","160.90 ± 1.00","209.67","-34.4","150.43 ± 1.00","51.37 ± 1.00"
"2017-03-02 12:10:10","161.27 ± 1.00","182.33","-34.5","150.74 ± 1.00","51.06 ± 1.00"
"2017-03-02 11:30:09","160.47 ± 1.00","169.00","-32.1","150.74 ± 1.00","51.06 ± 1.00"
"2017-03-02 10:30:09","158.73 ± 1.00","223.67","-32.0","149.15 ± 1.00","52.65 ± 1.00"
"2017-03-02 09:30:09","161.70 ± 1.00","195.33","-32.1","151.90 ± 1.00","49.90 ± 1.00"
"2017-03-02 08:30:10","162.57 ± 1.00","248.67","-31.9","152.78 ± 1.00","49.02 ± 1.00"
"2017-03-02 07:30:10","162.40 ± 1.00","175.67","-32.1","152.56 ± 1.00","49.24 ± 1.00"
"2017-03-02 06:30:09","161.90 ± 1.00","186.67","-32.4","152.00 ± 1.00","49.80 ± 1.00"
"2017-03-02 05:30:10","162.57 ± 1.00","171.00","-33.2","152.37 ± 1.00","49.43 ± 1.00"
"2017-03-02 04:30:10","163.53 ± 1.00","182.00","-34.9","152.73 ± 1.00","49.07 ± 1.00"
"2017-03-02 03:30:10","164.97 ± 1.00","186.00","-39.1","152.70 ± 1.00","49.10 ± 1.00"
"2017-03-02 02:30:10","166.30 ± 1.00","190.67","-41.9","153.01 ± 1.00","48.79 ± 1.00"
"2017-03-02 01:30:09","167.67 ± 1.00","207.00","-44.9","153.27 ± 1.00","48.53 ± 1.00"
"2017-03-02 00:30:10","167.43 ± 1.00","208.33","-44.5","153.19 ± 1.00","48.61 ± 1.00"
"2017-03-01 23:30:09","167.30 ± 1.00","197.00","-44.4","153.10 ± 1.00","48.70 ± 1.00"
"2017-03-01 22:30:10","167.07 ± 1.00","193.67","-43.9","153.05 ± 1.00","48.75 ± 1.00"
"2017-03-01 21:30:09","167.37 ± 1.00","196.67","-44.1","153.26 ± 1.00","48.54 ± 1.00"
"2017-03-01 20:30:09","167.17 ± 1.00","227.00","-45.3","152.68 ± 1.00","49.12 ± 1.00"
"2017-03-01 19:30:09","167.27 ± 1.00","216.67","-45.1","152.84 ± 1.00","48.96 ± 1.00"
"2017-03-01 18:30:09","167.00 ± 1.00","248.00","-45.0","152.63 ± 1.00","49.17 ± 1.00"
"2017-03-01 17:30:10","167.27 ± 1.00","193.33","-46.8","152.26 ± 1.00","49.54 ± 1.00"
"2017-03-01 16:30:09","167.83 ± 1.00","199.67","-47.3","152.61 ± 1.00","49.19 ± 1.00"
"2017-03-01 15:30:10","168.17 ± 1.00","209.33","-47.6","152.81 ± 1.00","48.99 ± 1.00"
"2017-03-01 14:30:09","168.37 ± 1.00","202.67","-47.5","153.03 ± 1.00","48.77 ± 1.00"
"2017-03-01 13:30:09","168.43 ± 1.00","200.33","-47.6","153.06 ± 1.00","48.74 ± 1.00"
"2017-03-01 12:30:10","168.37 ± 1.00","197.00","-47.9","152.89 ± 1.00","48.91 ± 1.00"
"2017-03-01 12:10:09","167.70 ± 1.00","278.33","-48.2","152.19 ± 1.00","49.61 ± 1.00"
